GEOID,medianAge,population,noEducation,highschoolEducation,gedEducation,associatesEducation,bachelorsEducation,masterEducation,professionalEducation,doctorateEducation,medianHHIncome,rentAsPercIncome
290950006004,31.9,1149,98,183,28,122,38,0,10,0,17594,50
290950043002,36.8,1183,0,184,29,24,212,147,69,22,36420,32.9
290950171002,44.2,591,0,116,5,32,20,37,0,0,24938,39.5
290950171003,35.3,796,0,132,0,31,28,0,0,0,38036,20.7
290950171004,48.1,1392,26,336,23,21,85,42,29,26,35817,28.2
290950172001,37.1,1767,0,432,41,66,190,49,10,0,47193,24.7
290950172002,33.5,644,0,131,11,9,67,22,0,0,44023,26
290950172003,24.1,642,0,90,11,19,18,9,0,0,24451,39.9
290950172004,34.7,1518,0,412,45,77,65,45,0,0,43097,35.4
290950173001,51.7,612,0,83,13,67,132,58,0,18,85476,
290950173002,44.4,961,0,89,10,37,272,166,64,0,80806,
290950173003,29.6,1047,8,107,56,52,187,40,41,19,41974,25
290950044001,57,406,0,23,0,6,166,66,29,16,62105,50
290950173004,39.7,908,0,91,18,10,162,84,21,31,62045,
290950174001,35.9,825,0,157,28,48,103,47,7,0,28750,26.5
290950174002,29.4,1638,0,261,46,43,95,83,0,8,27224,30.9
290950175001,46.2,603,1,138,0,17,42,18,9,0,51382,10
290950175002,53,427,0,107,5,10,80,47,0,0,63250,
290950175003,47.5,694,0,111,34,76,52,13,6,0,32206,48.9
290950176001,37.8,2528,7,484,24,38,275,173,0,0,66731,50
290950176002,52.8,1025,0,83,0,114,252,117,26,22,94773,26.5
290950176003,41.8,804,0,156,12,46,77,72,0,0,55357,28.3
290950176004,56.5,777,0,131,22,69,154,31,15,3,56288,
290950044002,34.2,594,0,6,8,42,172,95,49,8,61875,24
290950177001,28.5,132,0,41,8,9,0,0,0,0,50893,
290950177002,39.3,3128,11,637,122,183,342,83,23,0,69040,27.2
290950177003,37.9,2230,7,568,70,104,172,136,9,0,67379,13.7
290950178001,46.9,518,33,27,10,22,107,23,19,0,29000,42.7
290950178002,30.7,718,0,118,9,4,204,56,6,0,20425,43.4
290950178003,32,594,12,36,14,47,56,46,14,0,30227,30.4
290950178004,28.7,807,0,84,35,71,119,20,10,7,9682,50
290950179001,33.5,1825,0,168,33,94,510,91,8,29,75172,25.7
290950179002,41.9,1568,0,207,68,119,234,51,0,0,32260,40.4
290950179003,37.4,1227,0,57,0,59,232,76,0,0,95479,
290950046001,40.5,867,0,75,23,0,192,102,21,0,75338,
290950180001,29.1,1154,11,171,32,37,112,35,0,0,70833,27.9
290950180002,36.9,1628,0,314,32,83,231,67,11,21,45679,32.7
290950180003,35.4,648,0,170,9,18,141,24,9,0,61607,18.4
290950181001,38,805,8,86,18,14,265,71,0,0,126250,
290950181002,40.7,1411,0,98,28,91,442,32,78,0,99537,
290950181003,31.6,2228,0,209,0,174,498,93,0,0,104205,
290950181004,40.7,2136,0,244,0,240,256,96,19,17,87143,23.5
290950182001,33.3,3162,0,114,48,150,613,317,33,61,121016,31.9
290950185001,36.2,3469,1,350,31,239,657,276,116,40,91214,21.1
290950186001,37.1,2554,0,259,34,119,608,209,23,8,100565,35.1
290950046002,32.7,973,0,90,40,61,228,84,58,0,31140,26.5
290950186002,49.2,476,0,59,17,92,75,16,7,0,75288,
290950193001,42.9,2546,0,395,151,116,394,145,26,26,57385,37.6
290950193002,34.7,1904,0,221,32,44,369,212,23,28,62260,27.9
290950193003,37.9,1124,0,175,0,34,76,67,11,0,48214,34.7
290959801011,,0,0,0,0,0,0,0,0,0,,
290959808021,,0,0,0,0,0,0,0,0,0,,
290959883001,72.6,37,0,4,0,0,8,0,0,0,29167,
290959891001,27.3,12,0,0,0,3,0,4,0,0,,
290959892001,,0,0,0,0,0,0,0,0,0,,
290950046003,48.7,841,0,212,30,11,156,41,40,9,55472,21.2
290950051001,50.9,823,0,118,6,41,201,140,77,9,102750,27
290950051002,31.6,831,0,64,23,49,73,33,6,0,23594,29.7
